,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,FalconStocks,"The Only Family-Run, UNBIASED, Penny & Small-Cap Stock Picks Newsletter With REAL Wall Street Experience. The Top Penny Stock Picks Record. The Best Reputation.",Since 2004  - 102.4% Avg Gains,6,4455,3504,0,".
Check Out One Of Our Recent Small-Cap / Penny Stock Pick Reports:

Link: https://t.co/eE4HAL4Xvc

$ATER $VERU $ATRS $AMD $GPS $NVDA $AAPL $T $F $AMC $BCTX $CCL $LCID https://t.co/iKuJGKTvUC",[]
1,Jna202001,Entrepreneur. Minority Small Business Owner.,USA,79,18,1604,8,"Market Recap:
https://t.co/ERN7cMtTzu
Elon Musk hijacks Twitter and disrupts the oligarchy, here are the winners and the losers + How long will the rebound last? + Earnings Reviews $KO $ATVI $WHR + Charts $SPY $QQQ $IWM $DXY $GLD $TLT $VIX $AAPL $TSLA $BTC $AMC https://t.co/w81e2oR4nQ",[]
2,ThePitBoss16,"20+ years in the line of fire Energy Futures Bonds FX 'The bombing was never authorized, but I suspect I know who lit the fuse. And so did the powers that be'",In the Pit,150,2829,28347,2,"Market Wrap – Markets Rebound from The Depths Ahead of Monster Earnings 
Join us live @YouTube 
We look at technical analysis and sentiment on $ES_F $NDX $AAPL $SWVL $WBD $MSFT $FB $XOM $PTGX $NKTX #Gold #Copper $BTC #Natgas #oil in the podcast. 
https://t.co/TtzIVL6LxC",[]
3,get_blow,"""Never bet against America"" - richest stock investor ever Warren Buffet. Markets always go higher in the long run. TRADER. stocks. option.","New York, NY",0,626,9008,0,"Lets take a look at FAANG+ YTD: 
$AAPL is down -10.4% 
$AMZN is down -14.3% 
$FB is down -44.8% 
$GOOGL is down -15.1% 
$MSFT is down -16.0% 
$NFLX is down -64.9% https://t.co/AdhQAKM6Si",[]
4,NewportBFinance,"Stock market lover and investor from Newport Beach, California.
Surf, Sun and Stocks are the daily routine.",,107,16,134,84,"2022 Returns...
$TWTR: +17%
$TSLA: -6%
$AAPL: -9%
$AMZN: -13%
$GOOGL: -17%
$MSFT: -18%
$NOW: -28%
$ADBE: -28%
$CRM: -32%
$NVDA: -34%
$SQ: -35%
$TEAM: -35%
$SNAP: -36%
$AMD: -37%
$MRNA: -44%
$FB: -45%
$PINS: -46%
$SNOW: -47%
$PYPL: -54%
$NFLX: -65%
$SHOP: -66%
$RIVN: -67%",[]
5,NawafShalan0,,,850,265,9124,157,"Total Returns, last 7 years...
Bitcoin $BTC: +16,986%
NVIDIA $NVDA: +3,614%
Tesla $TSLA: +2,183%
Amazon $AMZN: +649%
Microsoft $MSFT: +631%
Apple $AAPL: +454%
Google $GOOGL: +342%
Nasdaq 100 $QQQ: +220%
Facebook $FB: +127%
Gold $GLD: +54%
Cash $BIL: +5%
Twitter $TWTR: +0%",[]
6,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"@dominocollege @AAPLTree Sooo, residual value has no meaning. 

(They might get some but it is disguised in the carrier giving them a rebate when they buy the next phone. They think they’re doing them a favor, it’s rarely the case 😄.)",[]
7,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"@dominocollege @AAPLTree For two reasons : from the door of the store these commodities lose so much value.

And their happiness fonction with the product is tolerating a far shittier experience than we (you and I) would accept.

It might all be dead weight in their minds. 2/2",[]
8,Sol_3__,Trading. Don’t take me seriously. Not investment advice.,Babylon,377,26,16,0,I think Apple holding its 200MA was significant info. $AAPL,[]
9,IndicesenelMes,,,259,74,30440,169,"Some very 𝗵𝗲𝗹𝗽𝗳𝘂𝗹📊 charts 📊 summarizing the tightening cycle, housing market, tech stocks, bond yields and more. 

Take a look through 🧵 𝘁𝗵𝗿𝗲𝗮𝗱 🧵 below. Pls retweet 🔂!

$SPX $QQQ $AAPL $GOOGL $TSLA $MSFT $AMZN $FB $ARKK $NVDA ...👇👇👇 https://t.co/6UOY11x1pr",[]
10,malcolmlum75,"My hobbies are, Virtual Regatta Offshore Yachting, News, Weather, and General Sport, AFL, V8 Supercars, Formula1, Nascar, Horse Racing.",,536,109,126565,4,"I’ll be there but I think #Twitter #ElonMusk 

Also 1/3rd of the S&amp;P500 reporting is big 
#Apple #Amazon #Google #Meta #Microsoft #Twitter 

1st time I think the $twtr report card will overshadow $aapl https://t.co/Z9JnSbBwsR","['Twitter', 'ElonMusk', 'Apple', 'Amazon', 'Google', 'Meta']"
11,Ugo_AAPL,"👨‍💻- Lover | 🏃Marathoner | 🧗‍♂️Sport Climber | 📷, pushing the shutter button, sometimes | PC Modder | Also, proudly 🏳️‍🌈.",The internets.,312,172,14113,0,"@dominocollege @AAPLTree (I’ll get burned for what I say here)

« Regular people » think in pretty weird terms about their electronics. 

They’re too used to commodities that they hold onto till they break down. 1/2",[]
